resonance,mode,upper,lower,branching ratio
N(1650),Λ K,0.15,0.05,0.04
N(1710),Λ K,0.25,0.05,0.13
N(1720),Λ K,0.19,0.04,0.05
N(1875),Λ K,0.02,0.01,0.04
N(1880),Λ K,0.03,0.01,0.02
N(1895),Λ K,0.23,0.03,0.18
N(1900),Λ K,0.2,0.02,0.02
N(1990),Λ K,0.061,0.059,0.03
N(2060),Λ K,0.2,0.1,0.01
N(2080),Λ K,0.02,0.01,0.005
N(2100),Λ K,0.01,0.0,0.01
N(2250),Λ K,0.03,0.01,0.002
N(1710),Σ K,0.01,0.0,0.01
N(1875),Σ K,0.011,0.003,0.04
N(1880),Σ K,0.24,0.1,0.1
N(1895),Σ K,0.2,0.06,0.11
N(1900),Σ K,0.07,0.03,0.03
N(1990),Σ K,0.01,0.0,0.03
N(2060),Σ K,0.05,0.01,0.04
Δ(1900),Σ K,0.01,0.0,0.01
Δ(1910),Σ K,0.14,0.04,0.04
Δ(1920),Σ K,0.06,0.02,0.03
Δ(1930),Σ K,0.01,0.0,0.04
Δ(1950),Σ K,0.005,0.003,0.005
N(2080),N φ,0.01,0.0,0.01
N(2100),N φ,0.01,0.0,0.01
N(2120),N φ,0.01,0.0,0.01
N(2190),N φ,0.01,0.0,0.01
N(2220),N φ,0.01,0.0,0.01
N(2250),N φ,0.01,0.0,0.01
N(1880),N a₀(980),0.05,0.01,0.02
Δ(1920),N a₀(980),0.01,0.0,0.01
N(2080),N f₀(980),0.01,0.0,0.001
N(2190),N f₀(980),0.01,0.0,0.001
N(2220),N f₀(980),0.01,0.0,0.001
N(2250),N f₀(980),0.01,0.0,0.001
